PR	Mesor	Amp	PHI	Bathy	Var	Period	subject	Interval	Cmp	Fnc	Time Pts	hours from RefDateTime	#Pts	P
	120.36	1	-303.25	-45.25	V4	0	AH001	1	m	test2	201105160813 - 201105230732	368.2167 - 536.0333	1 - 237  ( 237 )	<.001
	118.22	1	-159	-57	V4	0	AH002	1	m	test2	201105160800 - 201105230730	368.0 - 536.0	1 - 272  ( 272 )	<.001
	121.94	1	-269.75	-69.75	V4	0	AH003	1	m	test2	201105230807 - 201105300734	536.1167 - 704.0667	1 - 261  ( 261 )	<.001
	116.84	1	-311.5	-60.5	V4	0	AH004	1	m	test2	201105230814 - 201105300730	536.2333 - 704.0	1 - 265  ( 265 )	<.001
	116.29	1	-237.25	-60.25	V4	0	AH005	1	m	test2	201105300817 - 201106060731	704.2833 - 872.0167	1 - 255  ( 255 )	<.001
	119.32	1	-311.5	-58.5	V4	0	AH006	1	m	test2	201105300810 - 201106060701	704.1667 - 871.5167	1 - 246  ( 246 )	<.001
	121.7	1	-244.25	-70.25	V4	0	AH007	1	m	test2	201106060745 - 201106130730	871.75 - 1040.0	1 - 266  ( 266 )	<.001
	106.9	1	-233.25	-39.25	V4	0	AH008	1	m	test2	201106060721 - 201106120600	871.35 - 1014.5	1 - 247  ( 247 )	<.001
	114.78	1	-255.5	-71.5	V4	0	AH009	1	m	test2	201109260754 - 201109291700	3559.9 - 3641.5	1 - 118  ( 118 )	<.001
	120.36	1	-207.2	0	V4	8	AH001	1	s	test2	201105160813 - 201105230732	368.2167 - 536.0333	1 - 237  ( 237 )	0.2857
	118.22	1	-97.3	0	V4	8	AH002	1	s	test2	201105160800 - 201105230730	368.0 - 536.0	1 - 272  ( 272 )	0.0512
	121.94	1	-38.4	0	V4	8	AH003	1	s	test2	201105230807 - 201105300734	536.1167 - 704.0667	1 - 261  ( 261 )	0.0122
	116.84	1	-299.7	0	V4	8	AH004	1	s	test2	201105230814 - 201105300730	536.2333 - 704.0	1 - 265  ( 265 )	0.7616
	116.29	1	-7.4	0	V4	8	AH005	1	s	test2	201105300817 - 201106060731	704.2833 - 872.0167	1 - 255  ( 255 )	0.0124
	119.32	1	-243.7	0	V4	8	AH006	1	s	test2	201105300810 - 201106060701	704.1667 - 871.5167	1 - 246  ( 246 )	0.3101
	121.7	1	-32.8	0	V4	8	AH007	1	s	test2	201106060745 - 201106130730	871.75 - 1040.0	1 - 266  ( 266 )	0.1962
	106.9	1	-319.2	0	V4	8	AH008	1	s	test2	201106060721 - 201106120600	871.35 - 1014.5	1 - 247  ( 247 )	0.4368
	114.78	1	-54.6	0	V4	8	AH009	1	s	test2	201109260754 - 201109291700	3559.9 - 3641.5	1 - 118  ( 118 )	0.6192
	120.36	1	-271.7	0	V4	12	AH001	1	s	test2	201105160813 - 201105230732	368.2167 - 536.0333	1 - 237  ( 237 )	0.0012
	118.22	1	-275.7	0	V4	12	AH002	1	s	test2	201105160800 - 201105230730	368.0 - 536.0	1 - 272  ( 272 )	<.001
	121.94	1	-294.6	0	V4	12	AH003	1	s	test2	201105230807 - 201105300734	536.1167 - 704.0667	1 - 261  ( 261 )	<.001
	116.84	1	-299	0	V4	12	AH004	1	s	test2	201105230814 - 201105300730	536.2333 - 704.0	1 - 265  ( 265 )	<.001
	116.29	1	-306.7	0	V4	12	AH005	1	s	test2	201105300817 - 201106060731	704.2833 - 872.0167	1 - 255  ( 255 )	0.0729
	119.32	1	-292.5	0	V4	12	AH006	1	s	test2	201105300810 - 201106060701	704.1667 - 871.5167	1 - 246  ( 246 )	<.001
	121.7	1	-320.2	0	V4	12	AH007	1	s	test2	201106060745 - 201106130730	871.75 - 1040.0	1 - 266  ( 266 )	<.001
	106.9	1	-238.9	0	V4	12	AH008	1	s	test2	201106060721 - 201106120600	871.35 - 1014.5	1 - 247  ( 247 )	0.1067
	114.78	1	-317.1	0	V4	12	AH009	1	s	test2	201109260754 - 201109291700	3559.9 - 3641.5	1 - 118  ( 118 )	0.0981
	120.36	1	-257.3	0	V4	24	AH001	1	s	test2	201105160813 - 201105230732	368.2167 - 536.0333	1 - 237  ( 237 )	<.001
	118.22	1	-212.8	0	V4	24	AH002	1	s	test2	201105160800 - 201105230730	368.0 - 536.0	1 - 272  ( 272 )	<.001
	121.94	1	-260	0	V4	24	AH003	1	s	test2	201105230807 - 201105300734	536.1167 - 704.0667	1 - 261  ( 261 )	<.001
	116.84	1	-249.7	0	V4	24	AH004	1	s	test2	201105230814 - 201105300730	536.2333 - 704.0	1 - 265  ( 265 )	<.001
	116.29	1	-223.5	0	V4	24	AH005	1	s	test2	201105300817 - 201106060731	704.2833 - 872.0167	1 - 255  ( 255 )	<.001
	119.32	1	-265.4	0	V4	24	AH006	1	s	test2	201105300810 - 201106060701	704.1667 - 871.5167	1 - 246  ( 246 )	<.001
	121.7	1	-243.6	0	V4	24	AH007	1	s	test2	201106060745 - 201106130730	871.75 - 1040.0	1 - 266  ( 266 )	<.001
	106.9	1	-214.1	0	V4	24	AH008	1	s	test2	201106060721 - 201106120600	871.35 - 1014.5	1 - 247  ( 247 )	<.001
	114.78	1	-241.3	0	V4	24	AH009	1	s	test2	201109260754 - 201109291700	3559.9 - 3641.5	1 - 118  ( 118 )	<.001
