Date	Time	Temper	Illuminat	1	8
22/10/07	18:59:43	22.97	0	25	0
22/10/07	19:01:43	23.01	747.3	210	0
22/10/07	19:03:43	23.37	863.2	169	4
22/10/07	19:05:43	23.46	874.9	78	38
22/10/07	19:07:43	23.46	831.6	62	122
22/10/07	19:09:43	23.46	831.6	142	79
22/10/07	19:11:43	23.46	831.6	180	37
22/10/07	19:13:43	23.6	771	134	2
22/10/07	19:15:43	23.73	734.4	196	19
22/10/07	19:17:43	23.95	734.4	167	41
22/10/07	19:19:43	23.95	724.1	54	90
22/10/07	19:21:43	23.95	646.5	165	80
22/10/07	19:23:43	23.95	646.5	4	92
22/10/07	19:25:43	23.95	646.5	0	239
22/10/07	19:27:43	23.95	599.3	4	100
22/10/07	19:29:43	23.95	567.4	0	105
22/10/07	19:31:43	23.65	567.4	4	0
22/10/07	19:33:43	23.46	601.5	0	8
22/10/07	19:35:43	23.46	628.2	2	46
22/10/07	19:37:43	23.38	639.6	16	0
22/10/07	19:39:43	23.19	610.3	84	0
22/10/07	19:41:43	23.35	646.5	112	18
22/10/07	19:43:43	23.43	646.5	136	136
22/10/07	19:45:43	23.46	646.5	179	121
22/10/07	19:47:43	23.46	670	107	143
22/10/07	19:49:43	23.46	651.2	152	176
22/10/07	19:51:43	23.53	734.4	126	126
22/10/07	19:53:43	23.66	736.9	164	197
22/10/07	19:55:43	23.85	734.4	219	181
22/10/07	19:57:43	23.88	734.4	255	64
22/10/07	19:59:43	23.95	734.4	80	106
22/10/07	20:01:43	23.95	734.4	16	36
22/10/07	20:03:43	23.95	734.4	97	10
22/10/07	20:05:43	23.95	734.4	212	14
22/10/07	20:07:43	23.95	662.9	144	11
22/10/07	20:09:43	23.95	646.5	107	53
22/10/07	20:11:43	23.95	646.5	199	10
22/10/07	20:13:43	23.95	646.5	183	20
22/10/07	20:15:43	23.95	567.4	293	60
22/10/07	20:17:43	23.72	567.4	63	22
22/10/07	20:19:43	23.46	559.1	65	121
22/10/07	20:21:43	23.46	511.5	57	207
22/10/07	20:23:43	23.46	496.4	64	94
22/10/07	20:25:43	23.46	496.4	26	84
22/10/07	20:27:43	23.46	476.3	0	119
22/10/07	20:29:43	23.46	434.6	2	207
22/10/07	20:31:43	23.46	448.1	6	164
22/10/07	20:33:43	23.46	479.9	2	147
22/10/07	20:35:43	23.47	479.9	2	217
22/10/07	20:37:43	23.76	496.4	0	32
22/10/07	20:39:43	23.8	496.4	12	6
22/10/07	20:41:43	23.95	513.4	143	34
22/10/07	20:43:43	23.95	563.2	178	96
22/10/07	20:45:43	23.95	563.2	176	188
22/10/07	20:47:43	23.95	567.4	192	44
22/10/07	20:49:43	23.98	567.4	25	8
22/10/07	20:51:43	23.95	569.5	89	120
22/10/07	20:53:43	23.96	567.4	75	34
22/10/07	20:55:43	23.98	580	12	62
22/10/07	20:57:43	24.03	603.7	18	30
22/10/07	20:59:43	23.95	567.4	0	162
22/10/07	21:01:43	23.95	567.4	0	40
22/10/07	21:03:43	23.95	567.4	0	6
22/10/07	21:05:43	23.91	496.4	0	0
22/10/07	21:07:43	23.49	496.4	0	0
22/10/07	21:09:43	23.46	472.7	6	0
22/10/07	21:11:43	23.46	433	26	56
22/10/07	21:13:43	23.16	439.7	2	20
22/10/07	21:15:43	23.46	494.6	10	10
22/10/07	21:17:43	23.46	481.7	2	90
22/10/07	21:19:43	23.46	496.4	0	4
22/10/07	21:21:43	23.46	496.4	16	52
22/10/07	21:23:43	23.46	496.4	56	8
22/10/07	21:25:43	23.46	496.4	80	0
22/10/07	21:27:43	23.65	567.4	80	24
22/10/07	21:29:43	23.89	567.4	36	0
22/10/07	21:31:43	23.95	567.4	33	16
22/10/07	21:33:43	23.95	567.4	17	74
22/10/07	21:35:43	23.95	557.1	94	8
22/10/07	21:37:43	23.95	502	4	156
22/10/07	21:39:43	23.95	513.4	0	82
22/10/07	21:41:43	23.95	485.3	0	12
22/10/07	21:43:43	24.07	433	0	24
22/10/07	21:45:43	24.06	496.4	0	30
22/10/07	21:47:43	24.11	433	2	4
22/10/07	21:49:43	24.11	433	0	8
22/10/07	21:51:43	23.95	433	0	0
22/10/07	21:53:43	23.95	433	0	0
22/10/07	21:55:43	23.95	433	0	2
22/10/07	21:57:43	23.83	469.1	10	0
22/10/07	21:59:43	23.46	449.9	0	0
22/10/07	22:01:43	23.46	496.4	10	28
22/10/07	22:03:43	23.46	496.4	56	16
22/10/07	22:05:43	23.46	496.4	46	0
22/10/07	22:07:43	23.46	496.4	12	91
22/10/07	22:09:43	23.46	503.9	46	13
22/10/07	22:11:43	23.46	567.4	8	6
22/10/07	22:13:43	23.46	532.9	4	4
22/10/07	22:15:43	23.57	503.9	6	230
22/10/07	22:17:43	23.77	496.4	70	18
22/10/07	22:19:43	23.95	496.4	191	0
22/10/07	22:21:43	23.95	496.4	240	0
22/10/07	22:23:43	23.95	458.5	171	8
22/10/07	22:25:43	23.95	433	186	103
22/10/07	22:27:43	23.95	413.4	191	101
22/10/07	22:29:43	23.95	429.6	242	14
22/10/07	22:31:43	23.99	433	113	6
22/10/07	22:33:43	24.02	433	48	30
22/10/07	22:35:43	24.04	433	28	22
22/10/07	22:37:43	24.17	436.3	36	205
22/10/07	22:39:43	24.04	438	0	174
22/10/07	22:41:43	23.95	496.4	5	93
22/10/07	22:43:43	23.95	496.4	3	6
22/10/07	22:45:43	23.95	505.8	0	0
22/10/07	22:47:43	23.7	496.4	0	0
22/10/07	22:49:43	23.46	494.6	4	6
22/10/07	22:51:43	23.46	433	18	97
22/10/07	22:53:43	23.46	433	0	153
22/10/07	22:55:43	23.46	433	0	75
22/10/07	22:57:43	23.46	396.1	0	113
22/10/07	22:59:43	23.47	376.4	30	36
22/10/07	23:01:43	23.54	377.9	141	0
22/10/07	23:03:43	23.7	376.4	165	0
