Date	Time	Temper	Illuminat	3_2	5_5
9/5/12	16:59:57	20.53	62.6	0	0
9/5/12	17:01:57	20.53	0.3	2	0
9/5/12	17:03:57	20.6	0.3	0	0
9/5/12	17:05:57	20.53	0.3	0	0
9/5/12	17:07:57	20.53	0.3	0	4
9/5/12	17:09:57	20.53	0.3	30	0
9/5/12	17:11:57	20.61	0.3	0	0
9/5/12	17:13:57	20.53	0.3	0	0
9/5/12	17:15:57	20.53	0.3	0	0
9/5/12	17:17:57	20.53	0.3	0	80
9/5/12	17:19:57	20.53	0.3	0	150
9/5/12	17:21:57	20.53	0.3	0	74
9/5/12	17:23:57	20.53	0.3	0	152
9/5/12	17:25:57	20.53	0.3	0	160
9/5/12	17:27:57	20.53	0.3	74	22
9/5/12	17:29:57	20.53	0.3	96	22
9/5/12	17:31:57	20.53	0.3	115	30
9/5/12	17:33:57	20.53	0.3	25	21
9/5/12	17:35:57	20.57	0.3	210	106
9/5/12	17:37:57	20.53	0.3	114	47
9/5/12	17:39:57	20.53	0.3	158	2
9/5/12	17:41:57	20.53	0.3	31	34
9/5/12	17:43:57	20.53	0.3	88	28
9/5/12	17:45:57	20.53	0.3	159	44
9/5/12	17:47:57	20.53	0.3	76	0
9/5/12	17:49:57	20.53	0.3	93	14
9/5/12	17:51:57	20.53	0.3	126	32
9/5/12	17:53:57	20.61	0.3	61	0
9/5/12	17:55:57	20.53	0.3	39	0
9/5/12	17:57:57	20.6	0.3	74	0
9/5/12	17:59:57	20.53	0.3	111	0
9/5/12	18:01:57	20.53	0.3	106	0
9/5/12	18:03:57	20.53	0.3	52	0
9/5/12	18:05:57	20.53	0.3	42	0
9/5/12	18:07:57	20.53	0.3	4	0
9/5/12	18:09:57	20.6	0.3	136	0
9/5/12	18:11:57	20.53	0.3	196	0
9/5/12	18:13:57	20.53	0.3	0	0
9/5/12	18:15:57	20.53	0.3	4	0
9/5/12	18:17:57	20.6	0.3	30	0
9/5/12	18:19:57	20.53	0.3	43	0
9/5/12	18:21:57	20.6	0.3	61	0
9/5/12	18:23:57	20.6	0.3	0	0
9/5/12	18:25:57	20.6	0.3	0	0
9/5/12	18:27:57	20.65	0.3	0	0
9/5/12	18:29:57	20.6	0.3	0	0
9/5/12	18:31:57	20.54	0.3	0	0
9/5/12	18:33:57	20.53	0.3	0	0
9/5/12	18:35:57	20.53	0.3	0	0
9/5/12	18:37:57	20.58	0.3	0	0
9/5/12	18:39:57	20.66	0.3	0	0
9/5/12	18:41:57	20.75	0.3	0	0
9/5/12	18:43:57	20.53	0.3	0	0
9/5/12	18:45:57	20.6	0.3	0	0
9/5/12	18:47:57	20.64	0.3	0	0
9/5/12	18:49:57	20.53	0.3	0	0
9/5/12	18:51:57	20.68	0.3	0	0
9/5/12	18:53:57	20.6	0.3	0	0
9/5/12	18:55:57	20.66	0.3	0	0
9/5/12	18:57:57	20.61	0.3	0	0
9/5/12	18:59:57	20.58	0.3	0	2
9/5/12	19:01:57	20.53	0.3	0	0
9/5/12	19:03:57	20.53	0.3	0	0
9/5/12	19:05:57	20.53	0.3	0	0
9/5/12	19:07:57	20.53	0.3	0	0
9/5/12	19:09:57	20.53	0.3	0	0
9/5/12	19:11:57	20.53	0.3	0	10
9/5/12	19:13:57	20.6	0.3	0	151
9/5/12	19:15:57	20.61	0.3	0	81
9/5/12	19:17:57	20.6	0.3	0	66
9/5/12	19:19:57	20.53	0.3	0	30
9/5/12	19:21:57	20.6	0.3	0	142
9/5/12	19:23:57	20.6	0.3	0	88
9/5/12	19:25:57	20.53	0.3	0	24
9/5/12	19:27:57	20.54	0.3	0	64
9/5/12	19:29:57	20.65	0.3	0	40
9/5/12	19:31:57	20.56	0.3	0	8
9/5/12	19:33:57	20.6	0.3	0	50
9/5/12	19:35:57	20.53	0.3	0	118
9/5/12	19:37:57	20.53	0.3	0	12
9/5/12	19:39:57	20.53	0.3	0	27
9/5/12	19:41:57	20.53	0.3	0	73
9/5/12	19:43:57	20.53	0.3	0	52
9/5/12	19:45:57	20.53	0.3	0	0
9/5/12	19:47:57	20.61	0.3	0	0
9/5/12	19:49:57	20.53	0.3	0	0
9/5/12	19:51:57	20.61	0.3	0	0
9/5/12	19:53:57	20.53	0.3	0	18
9/5/12	19:55:57	20.6	0.3	0	0
9/5/12	19:57:57	20.61	0.3	0	0
9/5/12	19:59:57	20.53	0.3	0	0
9/5/12	20:01:57	20.53	0.3	0	0
9/5/12	20:03:57	20.6	0.3	0	0
9/5/12	20:05:57	20.53	0.3	0	0
9/5/12	20:07:57	20.6	0.3	0	0
9/5/12	20:09:57	20.53	0.3	0	0
9/5/12	20:11:57	20.53	0.3	0	0
